1600000000,2020-12-08 10:56:37+00:00, ,1.34E+18,en,0,0,0,4, ,"RT @twt_migrant: Instead, we????d call him an expat. The word ????$T$???? has existed since forever, but it????s only recently been repurposed t",expatriate,Foreign talents,-1
1550000000,2014-06-19 08:28:19+00:00, ,4.80E+17,en,0,0,0,0, ,Philippines asks Singapore to probe $T$ blog http://t.co/gr1nU1ey62,racist,Xenophobia and racism,0
396000000,2012-10-16 14:54:04+00:00, ,2.58E+17,en,0,0,0,0, ,$T$ form less than 16% of autonomous university enrolment http://t.co/hG9U3FjK #Singapore,international students,Foreign talents,-1
51347530,2013-02-06 11:09:33+00:00, ,2.99E+17,en,0,0,0,0, ,"We are hiring AGM/GM/AVP - Chartering for a shipping company in Singapore. Must be a PR/$T$. If interested, write to tataverty.prasad@verita",EP,Foreign talents,-1
27360389,2009-06-02 16:48:28+00:00, ,2010000000,en,0,0,0,0, ,"45 illegal immigrants caught in $T$ raid, largest arrest in 2009 so far: SINGAPORE: 45 immigration offenders wer.. http://tinyurl.com/n839an",ICA,Immigration policy,-1
157000000,2015-03-29 09:07:36+00:00, ,5.82E+17,en,0,0,0,68, ,"RT @ChannelNewsAsia: At $T$????s opening, #LeeKuanYew said Singapore must strive to get more into tertiary institutions http://t.co/s7b8Ir4wZ6 ",SP,Foreign talents,1
91025651,2021-12-03 14:31:46+00:00, ,1.47E+18,en,2,0,1,1, ,"Reason of Do Hung Dung ejected by $T$?

His name is not in the 30 names submitted to Singapore authorities before arrival. https://t.co/SihkyHYlfV",ICA,Immigration policy,-1
91025651,2021-12-03 14:31:46+00:00, ,1.47E+18,en,2,0,1,1, ,"Reason of Do Hung Dung ejected by $T$?

His name is not in the 30 names submitted to Singapore authorities before arrival. https://t.co/SihkyHYlfV",ICA,Immigration policy,0
8.09E+17,2021-05-08 11:52:22+00:00, ,1.39E+18,en,0,0,2,0, ,"S'pore reducing arrivals from higher-risk areas, not barring entry for all work $T$ holders: MOM ",S pass,Foreign talents,-1
27378369,2021-06-22 04:46:29+00:00, ,1.41E+18,en,0,0,0,0, ,"30 years_ jail for woman who killed $T$ by starving, abusing her almost daily for 9 months


Download the TODAY app at https://t.co/pzP2j5QBya",maid,Foreign domestic workers,-1
150000000,2021-01-26 15:07:03+00:00, ,1.35E+18,en,0,0,0,1, ,"INNR _ How three women are empowering 'invisible' South Asian: Before Ms Malar Tharmalingam came to Singapore from India to work as a $T$ in 2015, she mostly kept to herself. View article... https://t.co/COW1H5JyGR",domestic worker,Foreign domestic workers,0
558000000,2015-11-04 06:39:55+00:00, ,6.62E+17,en,0,0,0,1, ,Ven. Maduluwawe Sobitha Thero who underwent heart surgery recently was flown 2 Singapore last night 4 urgent madical treatment by $T$. flight,SP,Foreign talents,1
311000000,2020-05-05 09:10:13+00:00, ,1.26E+18,en,0,0,0,1556, ,RT @ventriclejuice: if singapore got $T$ how come my neighbour is indian https://t.co/gq6FFQVGmL,racism,Xenophobia and racism,0
2880000000,2020-02-20 07:30:14+00:00, ,1.23E+18,en,2,0,0,2, ,"A __ransfer_ is a $T$ that changes employers while already working in Singapore.

Read more: https://t.co/WAtqwGoRhl

 #insurancemarket #insurance https://t.co/v6ySWikhl8",domestic helper,Foreign domestic workers,0
1.32E+18,2021-05-19 07:19:36+00:00, ,1.39E+18,en,0,0,1,0, ,"An Indian woman has been attacked by a Chinese man in Singapore. Calling it ""Indian variant"", ""Brazil variant"" and ""UK variant"" is as irresponsible and $T$ as calling it ""China virus"". These attacks must never be allowed to happen.

https://t.co/nCzdmYrNbW",racist,Xenophobia and racism,-1
57814400,2015-11-16 20:07:50+00:00, ,6.66E+17,en,0,0,0,0, ,$T$ explores ways to upgrade Singaporepassport system - https://t.co/Zzjo13DVIy,ICA,Immigration policy,0
540000000,2013-10-04 15:53:36+00:00, ,3.86E+17,en,0,0,0,0, ,"Btw, Singapore has a law for online $T$? wow.",racism,Xenophobia and racism,0
64684768,2016-02-23 05:55:08+00:00, ,7.02E+17,en,0,0,0,0, ,ASIAONE | $T$ to conduct operational exercise at land checkpoints on Feb 25 https://t.co/sddH2xYijI https://t.co/tVQ9XECpix,ICA,Immigration policy,0
91485571,2019-11-10 04:24:45+00:00, ,1.19E+18,en,0,0,0,0, ,What???????????????$T$????? https://t.co/rJ0tSRrf0c,domestic worker,Foreign domestic workers,-1
74559996,2011-06-12 03:51:36+00:00, ,7.98E+16,en,0,0,0,0, ,Eric filming his drama at Singapore today!!! Fighting for both eric and changjos in $T$!!!!,SP,Foreign talents,1
2150000000,2015-04-01 08:09:55+00:00, ,5.83E+17,en,0,0,0,0, ,U.S. expects Congress to $T$ fast-track trade bill within next month: SINGAPORE (Reuters) - The United States... http://t.co/1N1ATf4sec,S pass,Foreign talents,1
401000000,2013-10-27 03:37:10+00:00, ,3.94E+17,en,0,0,1,0, ,@dorene_ang you are a Chinese Nigga! I love how we can say the word nigga in Singapore without having the fear of being called a $T$ haha,racist,Xenophobia and racism,1
2850000000,2020-02-24 11:48:45+00:00, ,1.23E+18,en,0,0,0,975, ,"RT @maosnail: Random student who is not a minority during their class part: ""There is no $T$ in Singapore."" 
Me:",racism,Xenophobia and racism,1
